station_name,average_aqi
"Ballygunge Campus, C.U                ",111.57003115716252
Madhyamgram Municipality                ,101.96682074336732
Dhapa Lock Pumping Station              ,99.92553895960562
Presidency University                   ,97.20649103414395
Lorreto College                         ,97.15283965670872
Flora Fountain                          ,96.49776984834969
Lady Brabourne College                  ,96.40866198099701
Bethune College                         ,93.36803889379972
Sarojini Naidu College for Women        ,92.93772552999549
"East Calcutta Girls College, Lake Town",92.67141957907988
Leather Complex                         ,86.26928231302216
Avidipta Housing Complex                ,82.65285892288523
Urbana Housing Complex                  ,81.87049120131063
Sarsuna College                         ,81.11668855358722
Maulana Azad Collage                    ,80.7495010490763
"VIVEKANANDA COLLEGE FOR WOMEN, BARISHA",78.87500991984763
Fortis Hospital                         ,76.74045341568126
